n,brute_states,matching_states,brute_tau,matching_tau,verified,brute_ms,matching_ms
4,3,3,2,2,True,0.06366299999172043,0.13677100014319876
6,4,4,3,3,True,0.14708699995935604,0.10664699993867544
8,5,5,4,4,True,0.4436529998201877,0.1466559999698802
10,6,6,5,5,True,1.859157000126288,0.21025900014137733
12,7,7,6,6,True,7.639043999915884,0.2978779998557002
14,8,8,7,7,True,32.0630539999911,0.39016400000946305
16,9,9,8,8,True,130.3671089999625,0.5315319999681378
18,10,10,9,9,True,559.1596570000092,0.8067070000379317
