n,m,k,basis_size,observed_states,expected_states,verified,rank,dense_support_min,runtime_ms
6,6,2,1,2,2,True,1,6,0.4509240000061254
8,8,4,3,8,8,True,3,6,0.7054889999835723
10,10,4,3,8,8,True,3,8,2.6667550000638585
12,12,4,3,8,8,True,3,10,9.348710000040228
14,14,4,3,8,8,True,3,12,36.83015100000375
16,16,4,3,8,8,True,3,14,151.36314400001538
18,18,4,3,8,8,True,3,16,572.1705779999411
